wage,earnwke,uhours,age,educ,female
42.3,1692,40,29,43,1
18.166666666666668,1090,60,30,41,0
19.23075,769.23,40,48,40,0
20.673,826.92,40,46,43,1
22,880,40,29,39,0
9,360,40,25,39,1
23.076923076923077,900,39,36,44,1
12.75,510,40,56,39,0
57.69225,2307.69,40,49,46,0
45,1800,40,50,43,1
11.2,448,40,39,39,1
28.846,1730.76,60,42,40,0
2.3,92,40,25,35,1
32.5,1300,40,39,41,0
25.48075,1019.23,40,57,41,0
38.4615,1538.46,40,53,43,1
18,720,40,32,39,0
30.288249999999998,1211.53,40,37,44,1
20.673,826.92,40,31,44,1
17,680,40,27,43,0
28.846,1442.3,50,57,45,0
12.5,500,40,40,44,1
57.6922,2884.61,50,38,43,0
30.275,1211,40,36,44,1
48.07683333333333,2884.61,60,48,43,0
15,900,60,21,39,0
12.11525,484.61,40,24,43,0
34.29333333333334,1543.2,45,44,41,0
15,750,50,44,39,1
29.29,1171.6,40,61,41,1
28.825,1153,40,61,43,0
33.333333333333336,2000,60,52,43,0
14.422999999999998,576.92,40,50,42,0
28.845999999999997,1153.84,40,59,40,1
48.07683333333333,2884.61,60,47,45,0
21.15,1269,60,62,43,0
6.923,276.92,40,25,39,1
4.6152500000000005,184.61,40,25,39,0
9.25,323.75,35,33,39,0
17.616666666666667,1057,60,59,39,0
14.957111111111113,673.07,45,43,43,0
14.957111111111113,673.07,45,39,43,1
16.183333333333334,728.25,45,27,39,0
40,2000,50,48,44,0
40,2000,50,37,44,0
48.075,1923,40,47,43,0
24.225,969,40,62,45,0
7.894736842105263,300,38,40,39,1
8.653749999999999,346.15,40,47,40,0
21.5,860,40,48,39,0
22.727272727272727,1250,55,61,39,0
14.444444444444445,650,45,54,39,0
13.36,534.4,40,50,39,1
15,600,40,44,39,1
8.5,340,40,36,39,1
9,360,40,40,39,0
23.428571428571427,984,42,61,41,0
13.75,618.75,45,58,40,1
10,350,35,54,43,1
23,1265,55,40,39,0
13,520,40,38,39,1
8.26,330.4,40,44,39,1
25,1000,40,46,39,0
10,400,40,38,39,1
12.24,489.6,40,27,37,0
17.857142857142858,1000,56,57,44,1
7.5,270,36,43,39,1
14,560,40,25,34,0
9.444444444444445,425,45,59,39,0
13.942250000000001,557.69,40,51,39,1
10.5,420,40,51,39,0
11.25,450,40,39,39,0
10.5,367.5,35,27,39,1
7.6,380,50,52,35,0
9.575,383,40,50,39,1
15,600,40,47,40,0
9,360,40,34,40,0
19.25,866.25,45,44,39,0
15,600,40,43,42,0
20,800,40,42,42,1
26,1170,45,62,39,0
17,680,40,62,39,1
12.5,500,40,63,39,1
42.480000000000004,1699.2,40,35,40,0
30,1200,40,28,41,1
14.6152,730.76,50,40,40,0
24,960,40,57,43,0
29.584615384615386,1923,65,58,39,0
31.5,1260,40,45,39,1
52,2080,40,42,43,0
27.875,1115,40,39,40,1
15,600,40,57,39,0
15,600,40,42,39,0
16.36,654.4,40,23,39,0
